"DateTime","Unique buyers"
"2022-10-17 00:00:00",281
"2022-10-18 00:00:00",103
"2022-10-19 00:00:00",486
"2022-10-20 00:00:00",100
"2022-10-21 00:00:00",119
"2022-10-22 00:00:00",95
"2022-10-23 00:00:00",91
"2022-10-24 00:00:00",145
"2022-10-25 00:00:00",176
"2022-10-26 00:00:00",232
"2022-10-27 00:00:00",143
"2022-10-28 00:00:00",147
"2022-10-29 00:00:00",117
"2022-10-30 00:00:00",135
"2022-10-31 00:00:00",448
"2022-11-01 00:00:00",326
"2022-11-02 00:00:00",163
"2022-11-03 00:00:00",1236
"2022-11-04 00:00:00",1111
"2022-11-05 00:00:00",869
"2022-11-06 00:00:00",654
"2022-11-07 00:00:00",1166
"2022-11-08 00:00:00",851
"2022-11-09 00:00:00",359
"2022-11-10 00:00:00",253
"2022-11-11 00:00:00",204
"2022-11-12 00:00:00",336
"2022-11-13 00:00:00",164
"2022-11-14 00:00:00",193
"2022-11-15 00:00:00",211
"2022-11-16 00:00:00",174
"2022-11-17 00:00:00",179
"2022-11-18 00:00:00",126
"2022-11-19 00:00:00",124
"2022-11-20 00:00:00",145
"2022-11-21 00:00:00",133
"2022-11-22 00:00:00",110
"2022-11-23 00:00:00",74
"2022-11-24 00:00:00",70
"2022-11-25 00:00:00",96
"2022-11-26 00:00:00",72
"2022-11-27 00:00:00",76
"2022-11-28 00:00:00",81
"2022-11-29 00:00:00",99
"2022-11-30 00:00:00",143
"2022-12-01 00:00:00",105
"2022-12-02 00:00:00",128
"2022-12-03 00:00:00",149
"2022-12-04 00:00:00",96
"2022-12-05 00:00:00",159
"2022-12-06 00:00:00",125
"2022-12-07 00:00:00",116
"2022-12-08 00:00:00",121
"2022-12-09 00:00:00",104
"2022-12-10 00:00:00",92
"2022-12-11 00:00:00",96
"2022-12-12 00:00:00",96
"2022-12-13 00:00:00",109
"2022-12-14 20:03:34",125
