"DateTime","Number of sales","Sales USD"
"2022-06-14 00:00:00",154,494223.48
"2022-06-15 00:00:00",213,476704.17
"2022-06-16 00:00:00",149,201488.2
"2022-06-17 00:00:00",254,355517.58
"2022-06-18 00:00:00",200,523008.65
"2022-06-19 00:00:00",411,616106.87
"2022-06-20 00:00:00",548,1344478.17
"2022-06-21 00:00:00",390,984454.39
"2022-06-22 00:00:00",437,884923.09
"2022-06-23 00:00:00",378,483651.35
"2022-06-24 00:00:00",355,864295.22
"2022-06-25 00:00:00",261,236977.66
"2022-06-26 00:00:00",191,330327.61
"2022-06-27 00:00:00",703,454158.86
"2022-06-28 00:00:00",374,848166.41
"2022-06-29 00:00:00",941,1440960.41
"2022-06-30 00:00:00",428,346082.57
"2022-07-01 00:00:00",659,589236.99
"2022-07-02 00:00:00",267,403307.26
"2022-07-03 00:00:00",341,268836.67
"2022-07-04 00:00:00",408,483167.79
"2022-07-05 00:00:00",305,485176.29
"2022-07-06 00:00:00",740,1048486.11
"2022-07-07 00:00:00",908,1473547.54
"2022-07-08 00:00:00",1262,1322106.94
"2022-07-09 00:00:00",984,900797.34
"2022-07-10 00:00:00",520,1011222.93
"2022-07-11 00:00:00",1501,1387689.82
"2022-07-12 00:00:00",610,1374043.06
"2022-07-13 00:00:00",2592,4173381.05
"2022-07-14 00:00:00",627,933742.62
"2022-07-15 00:00:00",635,1258201.23
"2022-07-16 00:00:00",397,729250.18
"2022-07-17 00:00:00",358,1420751.32
"2022-07-18 00:00:00",988,2044864.56
"2022-07-19 00:00:00",309,1037264.42
"2022-07-20 00:00:00",525,1216232.79
"2022-07-21 00:00:00",262,551701.32
"2022-07-22 00:00:00",854,794213.21
"2022-07-23 00:00:00",311,1207613.27
"2022-07-24 00:00:00",119,176249.37
"2022-07-25 00:00:00",594,259758.25
"2022-07-26 00:00:00",148,302653.21
"2022-07-27 00:00:00",842,3534519.54
"2022-07-28 00:00:00",206,774552.02
"2022-07-29 00:00:00",249,557278.09
"2022-07-30 00:00:00",128,457568.44
"2022-07-31 00:00:00",115,508197.42
"2022-08-01 00:00:00",989,2982277.22
"2022-08-02 00:00:00",271,953165.03
